distro,release,codename,variant,libc,libc_baseline,cxx_stdlib,cxx_stdlib_baseline,cxx_stdlib_source_url,linux_uapi_headers_baseline,alternate_linux_uapi_headers_baseline,notes,source_url
RHEL,5,,,glibc,2.5,libstdc++,4.1.1,https://vault.centos.org/5.0/os/x86_64/CentOS/libstdc++-4.1.1-52.el5.x86_64.rpm,2.6.18,,Very old enterprise ABI floor.,https://docs.redhat.com/en/documentation/Red_Hat_Enterprise_Linux/5/html/5.0_release_notes/index
RHEL,6,,,glibc,2.12,libstdc++,4.4.4,https://vault.centos.org/6.0/os/x86_64/Packages/libstdc++-4.4.4-13.el6.x86_64.rpm,2.6.32,,Old enterprise ABI floor; use only for explicit customer requirement.,https://docs.redhat.com/en/documentation/red_hat_enterprise_linux/6/html/6.0_release_notes/index
RHEL,7,,,glibc,2.17,libstdc++,4.8.2,https://vault.centos.org/7.0.1406/os/x86_64/Packages/libstdc++-4.8.2-16.el7.x86_64.rpm,3.10,,Ancient enterprise ABI floor.,https://docs.redhat.com/en/documentation/red_hat_enterprise_linux/7/html-single/7.0_release_notes/index
RHEL,8,,,glibc,2.28,libstdc++,8.2.1,https://vault.centos.org/8.0.1905/BaseOS/x86_64/os/Packages/libstdc++-8.2.1-3.5.el8.x86_64.rpm,4.18,,Choose this if RHEL 8 class compatibility matters.,https://docs.redhat.com/en/documentation/red_hat_enterprise_linux/8/html-single/8.0_release_notes/index
RHEL,9,,,glibc,2.34,libstdc++,11.2.1,https://dl.rockylinux.org/vault/rocky/9.0/BaseOS/x86_64/os/Packages/l/libstdc++-11.2.1-9.4.el9.x86_64.rpm,5.14,,Good EL9 and AL2023 class baseline.,https://docs.redhat.com/en/documentation/red_hat_enterprise_linux/9/html-single/9.0_release_notes/index
RHEL,10,,,glibc,2.39,libstdc++,14.2.1,https://dl.rockylinux.org/vault/rocky/10.0/BaseOS/x86_64/os/Packages/l/libstdc%2B%2B-14.2.1-7.el10.x86_64.rpm,6.12,,RHEL 10 requires x86-64-v3 on x86_64; keep CPU baseline separate from libc/UAPI.,https://docs.redhat.com/en/documentation/red_hat_enterprise_linux/10/html-single/10.0_release_notes/index
