distro,release,codename,variant,libc,libc_baseline,cxx_stdlib,cxx_stdlib_baseline,cxx_stdlib_source_url,linux_uapi_headers_baseline,alternate_linux_uapi_headers_baseline,notes,source_url
Fedora,34,,,glibc,2.33,libstdc++,11.0.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/34/Everything/x86_64/os/repodata/0ed5b4c2fbfe24c4b00d29fc04ff409b8dc162d224b3971d6b67aa21e8031024-primary.xml.gz,5.11,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/34/Release_Notes
Fedora,35,,,glibc,2.34,libstdc++,11.2.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/35/Everything/x86_64/os/repodata/d31d1b5437e070244de5fbc01ad2f21a0a4eaedf0c364748ab9c72a90da82b05-primary.xml.gz,5.14,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/35/Release_Notes
Fedora,36,,,glibc,2.35,libstdc++,12.0.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/36/Everything/x86_64/os/repodata/6640d8a2d8cbd680183050ef5c06aaccfe0dc3abd0bff8cba1bdcbe8fe6f64a6-primary.xml.gz,5.17,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/36/Release_Notes
Fedora,37,,,glibc,2.36,libstdc++,12.2.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/37/Everything/x86_64/os/repodata/54bbae6e9d4cd4865a55f7558daef86574cddc5f2a4f8a0d9c74f946e1a45dd3-primary.xml.gz,6.0,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/37/Release_Notes
Fedora,38,,,glibc,2.37,libstdc++,13.0.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/38/Everything/x86_64/os/repodata/f6dee453a7f86804214e402ad2e444b989f044f0b16fa7ba74e5a27a8a49cd07-primary.xml.gz,6.2,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/38/Release_Notes
Fedora,39,,,glibc,2.38,libstdc++,13.2.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/39/Everything/x86_64/os/repodata/e681f4dcf1aa9814a1393a685d70b94210232b8997d2bc8a02c080e0ba8e51e3-primary.xml.gz,6.5,,Release-media kernel/header baseline; Fedora moves quickly after release.,https://fedoraproject.org/wiki/Releases/39/Release_Notes
Fedora,40,,,glibc,2.39,libstdc++,14.0.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/40/Everything/x86_64/os/repodata/b70b906963da8e73d3b09b98ea9a414a09f17d731324decb6138efc8f683b564-primary.xml.gz,6.8,,Release coverage and package set show glibc 2.39 and Linux 6.8 class.,https://fedoraproject.org/wiki/Releases/40/ChangeSet
Fedora,41,,,glibc,2.40,libstdc++,14.2.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/41/Everything/x86_64/os/repodata/62f840348cce54cb2bc138e7d61cd31e0fff79291de553762ac643b193d0b68e-primary.xml.gz,6.11,,Fedora kernels move within a release; this is the release/initial sane default.,https://fedoraproject.org/wiki/Releases/41/ChangeSet
Fedora,42,,,glibc,2.41,libstdc++,15.0.1,https://archives.fedoraproject.org/pub/archive/fedora/linux/releases/42/Everything/x86_64/os/repodata/cd483b35df017d68b73a878a392bbf666a43d75db54c386e4720bc369eb5c3a3-primary.xml.zst,6.14,,Fedora package pages move after release; keep this as initial baseline.,https://packages.fedoraproject.org/pkgs/kernel/kernel/fedora-42.html
Fedora,43,,,glibc,2.42,libstdc++,15.2.1,https://dl.fedoraproject.org/pub/fedora/linux/releases/43/Everything/x86_64/os/repodata/fffa3e9f63fffd3d21b8ea5e9bb0fe349a7ed1d4e09777a618cec93a2bcc305f-primary.xml.zst,6.17,,Fedora package pages move after release; keep this as initial baseline.,https://packages.fedoraproject.org/pkgs/kernel/kernel/fedora-43.html
Fedora,44,,,glibc,2.43,libstdc++,16.0.1,https://dl.fedoraproject.org/pub/fedora/linux/releases/44/Everything/x86_64/os/repodata/c48e47563bbf65b996c95caf4a608223f982c314cab637e6ab87dd1df67b9d26-primary.xml.zst,6.19,,Fedora package page currently shows Fedora 44 on the 6.19 kernel line.,https://packages.fedoraproject.org/pkgs/kernel/kernel/fedora-44.html
